Nom,,
Le Perreux sur Marne,Territoires et Transports,
Le RIF,,
Loire-Atlantique Tourisme,Territoires et Transports,
Longjumeau,Territoires et Transports,
Mairie de Balma,Territoires et Transports,
Mairie de Paris,Territoires et Transports,
Mairie de Seilh,Territoires et Transports,
Mairie de Toulouse,Territoires et Transports,
Marseille-Provence 2013,Territoires et Transports,
Marseille Provence Métropole,Territoires et Transports,
Météo-France,,
Métropole Nice Côte d'Azur,Territoires et Transports,
"Ministère de l’Agriculture, de l’Agroalimentaire et de la Forêt",Agriculture et Alimentation,
Ministère de l'Ecologie du Développement Durable et de l'Energie,"Logement, Développement Durable et Énergiee",
Ministère de l’Economie et des Finances,Économie et Emploi,
Ministère de l'Education Nationale,Éducation et Recherche,
Ministère de l'Egalité des Territoires et du Logement,"Logement, Développement Durable et Énergiee",
Ministère de l’Enseignement Supérieur et de la Recherche,Éducation et Recherche,
Ministère de l'Intérieur,Société,
Ministère de la Culture et de la Communication,Culture,
Ministère de la Défense,International et Europe,
Ministère de la Justice,Société,
Ministère des Affaires Etrangères,International et Europe,
Ministère des Affaires sociales et de la Santé,Santé et Social,
"Ministère des Sports, de la Jeunesse, de l'Education populaire et de la vie associative",Société,
Ministère du Redressement productif,Économie et Emploi,
"Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social",Économie et Emploi,
Montpellier Territoire Numérique,Territoires et Transports,
Musée des arts asiatiques Guimet,Culture,
Musée du Louvre,Culture,
Musique et Danse en Loire-Atlantique,Culture,
Nantes Métropole,Territoires et Transports,
NosDonnées.fr,,
Observatoire français des drogues et des toxicomanies,Santé et Social,Société
Office de tourisme So Toulouse,,
Office national d'information sur les enseignements et les professions,Éducation et Recherche,Économie et Emploi
Office national de l'eau et des milieux aquatiques,"Logement, Développement Durable et Énergiee",Agriculture et Alimentation
Office national des forêts,Agriculture et Alimentation,
Oise Open Data,Territoires et Transports,
Open Data 71,Territoires et Transports,
Open Data Alsace,Territoires et Transports,
Open Data Hauts-de-Seine,Territoires et Transports,
Open Data Nord-Pas de Calais,Territoires et Transports,
OpenDataSoft,,
OpenPACA,Territoires et Transports,
OpenStreetMap,Territoires et Transports,
Ouest France,Territoires et Transports,
Pays d'Aubagne et de l'Etoile,Territoires et Transports,
Pôle métier Eau et Environnement CRIGE-PACA,,
Premier ministre,,
PSE - Ecole d'Economie de Paris,Économie et Emploi,
Régie autonome des transports parisiens (RATP),,
Régie culturelle régionale,Territoires et Transports,
Région Alsace,Territoires et Transports,
Région des Pays de la Loire,Territoires et Transports,
Région des Pays de la Loire ouverture des données publiques,Territoires et Transports,
Région Île-de-France,Territoires et Transports,
Région Provence-Alpes-Côte d'Azur,Territoires et Transports,
Région Provence-Alpes-Côte d'Azur - Earthcase,Territoires et Transports,
Région Provence-Alpes-Côte d'Azur - ITEMS,Territoires et Transports,
Région Provence-Alpes-Côte d'Azur - MV2,Territoires et Transports,
Rennes Métropole,Territoires et Transports,
Rennes Métropole en accès libre,Territoires et Transports,
Réseau ferré de France,,
Réseau Sitra,Territoires et Transports,
Résot Alsace,,
Ressourcerie datalocale,,
Saint-Maur des Fossés,Territoires et Transports,
Saint Quentin (Aisne),,
SAN Ouest Provence,,
Sarlat-La Canéda,Territoires et Transports,
Secrétariat général,,
Semitan,,
Société du Grand Paris,Territoires et Transports,
Société nationale des chemins de fer français,Territoires et Transports,
Syndicat Mixte des Transports des Bouches-du-Rhône,Territoires et Transports,
Syndicat mixte du Pays d'Arles,,
"Théâtre national de l'Odéon, Théâtre de l'Europe",Culture,
Tisseo SMTC,,
Toulouse métrople,Territoires et Transports,
Toulouse-Métropole.data,Territoires et Transports,
Var Tourisme,Territoires et Transports,
Ville d'Aix-en-Provence,Territoires et Transports,
Ville d'Arles - Commune de Saint-Martin-de-Crau -ACCM,Territoires et Transports,
Ville de Digne-les-Bains,Territoires et Transports,
Ville de Marseille,Territoires et Transports,
Ville de Montpellier,Territoires et Transports,
Ville de Nantes,Territoires et Transports,
Ville de Rennes,Territoires et Transports,
Villemomble,Territoires et Transports,
WWF,,
