Organisation;Service;Jeu de données initial;Resource initiale;Jeu de données fusionné;Resource après fusion
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Gironde;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Gironde
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haut-Rhin;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haut-Rhin
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Corse;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Corse
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Garonne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Garonne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Loire;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Loire
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Marne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Marne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Savoie;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Savoie
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Saône;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Saône
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Vienne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Haute-Vienne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Hautes-Alpes;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Hautes-Alpes
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Hautes-Pyrénées;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Hautes-Pyrénées
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Hérault;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Hérault
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ille-et-Vilaine;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ille-et-Vilaine
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Indre;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Indre
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Indre-et-Loire;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Indre-et-Loire
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Isère;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Isère
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Jura;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Jura
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Landes;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Landes
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loir-et-Cher;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loir-et-Cher
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loire;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loire
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loire-Atlantique;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loire-Atlantique
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loiret;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Loiret
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Lot;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Lot
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Lot-et-Garonne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Lot-et-Garonne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Lozère;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Lozère
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Maine-et-Loire;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Maine-et-Loire
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Manche;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Manche
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Marne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Marne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Mayenne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Mayenne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Meurthe-et-Moselle;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Meurthe-et-Moselle
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Meuse;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Meuse
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Morbihan;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Morbihan
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Moselle;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Moselle
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Nièvre;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Nièvre
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Nord;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Nord
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Oise;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Oise
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Orne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Orne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Pas-de-Calais;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Pas-de-Calais
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Puy-de-Dôme;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Puy-de-Dôme
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Pyrénées-Atlantiques;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Pyrénées-Atlantiques
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Pyrénées-Orientales;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Pyrénées-Orientales
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Rhône;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Rhône
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Sarthe;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Sarthe
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Savoie;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Savoie
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Saône-et-Loire;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Saône-et-Loire
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Seine-Maritime;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Seine-Maritime
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Seine-Saint-Denis;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Seine-Saint-Denis
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Seine-et-Marne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Seine-et-Marne
